round,model,energy_rmse,energy_rmse_natoms,force_rmse
0,model_000,0.9256704,0.4628352,0.1864015
0,model_001,0.01193425,0.005967126,0.148641
0,model_002,2.003717,1.001859,0.2977629
0,model_003,0.001708328,0.0008541642,0.09575121
1,model_000,1.228771,0.6143857,0.05065443
1,model_001,0.005753091,0.002876545,0.196549
1,model_002,0.8115099,0.4057549,0.2087324
1,model_003,0.8711439,0.435572,0.1911318
2,model_000,3.871944,1.935972,0.2780854
2,model_001,0.00969763,0.004848815,0.1437224
2,model_002,0.4528978,0.2264489,0.1336055
2,model_003,0.4923909,0.2461955,0.2200228
3,model_000,0.7858708,0.3929354,0.3768867
3,model_001,0.6801369,0.3400684,0.1493383
3,model_002,0.6787318,0.3393659,0.1070028
3,model_003,1.851586,0.9257932,0.06383155
