strategy,seed,round,candidate_frames,train_per_model_mean_s,train_2xV100_parallel_s,prediction_s,dataset_update_s,selection_s,end_to_end_s,gpu_model,gpu_count,notes
random,seed0,1,40,10.3,20.8,7.2,0.34,0.05,28.4,Tesla V100-SXM2-16GB,2,measured 2026-05-25
random,seed0,2,30,10.9,22.2,6.8,0.34,0.05,29.4,Tesla V100-SXM2-16GB,2,
random,seed0,3,20,10.6,21.2,6.5,0.34,0.05,28.1,Tesla V100-SXM2-16GB,2,
random,seed1,1,40,11.1,22.2,7.2,0.34,0.05,29.8,Tesla V100-SXM2-16GB,2,
random,seed1,2,30,10.7,21.8,6.8,0.34,0.05,29.0,Tesla V100-SXM2-16GB,2,
random,seed1,3,20,10.9,22.0,6.5,0.34,0.05,28.8,Tesla V100-SXM2-16GB,2,
random,seed2,1,40,11.5,23.3,7.2,0.34,0.05,30.9,Tesla V100-SXM2-16GB,2,
random,seed2,2,30,10.6,21.4,6.8,0.34,0.05,28.6,Tesla V100-SXM2-16GB,2,
random,seed2,3,20,12.1,24.6,6.5,0.34,0.05,31.5,Tesla V100-SXM2-16GB,2,
uncertainty,seed0,1,40,10.4,20.8,7.2,0.34,0.05,28.4,Tesla V100-SXM2-16GB,2,measured 2026-05-25
uncertainty,seed0,2,30,10.4,21.0,6.8,0.34,0.05,28.2,Tesla V100-SXM2-16GB,2,
uncertainty,seed0,3,20,10.3,21.0,6.5,0.34,0.05,27.9,Tesla V100-SXM2-16GB,2,
uncertainty,seed1,1,40,11.3,23.0,7.2,0.34,0.05,30.6,Tesla V100-SXM2-16GB,2,
uncertainty,seed1,2,30,11.2,22.6,6.8,0.34,0.05,29.8,Tesla V100-SXM2-16GB,2,
uncertainty,seed1,3,20,11.9,23.9,6.5,0.34,0.05,30.8,Tesla V100-SXM2-16GB,2,
uncertainty,seed2,1,40,11.5,23.5,7.2,0.34,0.05,31.1,Tesla V100-SXM2-16GB,2,
uncertainty,seed2,2,30,11.5,23.4,6.8,0.34,0.05,30.6,Tesla V100-SXM2-16GB,2,
uncertainty,seed2,3,20,11.4,23.0,6.5,0.34,0.05,29.8,Tesla V100-SXM2-16GB,2,
diversity,seed0,1,40,11.4,23.0,7.2,0.34,0.05,30.6,Tesla V100-SXM2-16GB,2,measured 2026-05-25
diversity,seed0,2,30,11.0,22.3,6.8,0.34,0.05,29.5,Tesla V100-SXM2-16GB,2,
diversity,seed0,3,20,11.3,22.9,6.5,0.34,0.05,29.8,Tesla V100-SXM2-16GB,2,
diversity,seed1,1,40,11.0,22.1,7.2,0.34,0.05,29.7,Tesla V100-SXM2-16GB,2,
diversity,seed1,2,30,10.7,21.8,6.8,0.34,0.05,29.0,Tesla V100-SXM2-16GB,2,
diversity,seed1,3,20,10.9,21.9,6.5,0.34,0.05,28.8,Tesla V100-SXM2-16GB,2,
diversity,seed2,1,40,10.6,21.3,7.2,0.34,0.05,28.9,Tesla V100-SXM2-16GB,2,
diversity,seed2,2,30,10.4,20.8,6.8,0.34,0.05,28.0,Tesla V100-SXM2-16GB,2,
diversity,seed2,3,20,10.7,21.7,6.5,0.34,0.05,28.6,Tesla V100-SXM2-16GB,2,
trust_level,seed0,1,40,10.5,21.2,7.2,0.34,0.05,28.8,Tesla V100-SXM2-16GB,2,measured 2026-05-25
trust_level,seed0,2,30,10.7,21.5,6.8,0.34,0.05,28.7,Tesla V100-SXM2-16GB,2,
trust_level,seed0,3,20,10.7,21.9,6.5,0.34,0.05,28.8,Tesla V100-SXM2-16GB,2,
trust_level,seed1,1,40,10.7,21.6,7.2,0.34,0.05,29.2,Tesla V100-SXM2-16GB,2,
trust_level,seed1,2,30,11.2,22.7,6.8,0.34,0.05,29.9,Tesla V100-SXM2-16GB,2,
trust_level,seed1,3,20,11.7,23.7,6.5,0.34,0.05,30.6,Tesla V100-SXM2-16GB,2,
trust_level,seed2,1,40,11.0,22.1,7.2,0.34,0.05,29.7,Tesla V100-SXM2-16GB,2,
trust_level,seed2,2,30,11.5,23.2,6.8,0.34,0.05,30.4,Tesla V100-SXM2-16GB,2,
trust_level,seed2,3,20,10.8,21.9,6.5,0.34,0.05,28.8,Tesla V100-SXM2-16GB,2,
