#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:51:46      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:46      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:47      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:51:47      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:48      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:48      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:49      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:49      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:50      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:51:50      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:51      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:51      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:53      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:53      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:54      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:54      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:55      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:51:55      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:51:56      0     42     33     33      0      0      0      0      -      -    877   1312      0      0 
 11:51:56      1     45     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:51:57      0     42     33     33      0      0      0      0      -      -    877   1312      0      0 
 11:51:57      1     45     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:51:58      0     42     33     33      0      0      0      0      -      -    877   1312      0      0 
 11:51:58      1     45     33     30      0      0      0      0      -      -    877   1312      0      0 
 11:51:59      0     28     33     33      0      0      0      0      -      -    877    420      0      0 
 11:51:59      1     30     33     30      0      0      0      0      -      -    877    420      0      0 
 11:52:00      0     28     33     33      0      0      0      0      -      -    877    420      0      0 
 11:52:00      1     30     32     30      0      0      0      0      -      -    877    420      0      0 
 11:52:01      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:01      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:02      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:02      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:03      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:03      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:04      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:04      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:05      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:05      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:06      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:06      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:07      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:07      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:08      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:52:08      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:52:09      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:09      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:10      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:10      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:11      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:11      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:12      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:52:12      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:13      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:52:13      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:14      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:14      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:15      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:15      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:16      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 11:52:16      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 11:52:17      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 11:52:17      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
