#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 19:52:15      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:15      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:16      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:16      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:17      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:17      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:18      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:18      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:19      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:19      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:20      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 19:52:20      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:21      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 19:52:21      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:22      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:22      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:23      0     27     33     32      0      0      0      0      -      -    877    135      0      0 
 19:52:23      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:24      0     27     33     33      0      0      0      0      -      -    877    135      0      0 
 19:52:24      1     30     32     30      0      0      0      0      -      -    877    135      0      0 
 19:52:25      0     42     33     33      0      0      0      0      -      -    877   1312      0      0 
 19:52:25      1     45     33     30      0      0      0      0      -      -    877   1312      0      0 
 19:52:26      0     42     34     33      0      0      0      0      -      -    877   1312      0      0 
 19:52:26      1     45     33     30      0      0      0      0      -      -    877   1312      0      0 
