path,wall_time_s
experiments/baselines/random_seed0_round001_committee_models/model_001/train.log,10.094
experiments/baselines/random_seed0_round001_committee_models/model_003/train.log,10.185
experiments/baselines/random_seed0_round002_committee_models/model_000/train.log,10.280
experiments/baselines/random_seed2_round002_committee_models/model_003/train.log,10.296
experiments/baselines/trust_level_seed1_round001_committee_models/model_001/train.log,10.303
experiments/baselines/random_seed0_round001_committee_models/model_002/train.log,10.311
experiments/baselines/random_seed1_round002_committee_models/model_002/train.log,10.323
experiments/baselines/diversity_seed2_round002_committee_models/model_001/train.log,10.324
experiments/baselines/trust_level_round003_committee_models/model_001/train.log,10.326
experiments/baselines/trust_level_seed1_round001_committee_models/model_000/train.log,10.362
experiments/baselines/diversity_seed2_round002_committee_models/model_000/train.log,10.382
experiments/baselines/trust_level_round001_committee_models/model_001/train.log,10.389
experiments/baselines/diversity_seed1_round002_committee_models/model_000/train.log,10.398
experiments/baselines/diversity_seed2_round002_committee_models/model_003/train.log,10.401
experiments/baselines/diversity_seed2_round002_committee_models/model_002/train.log,10.422
experiments/baselines/trust_level_round001_committee_models/model_002/train.log,10.423
experiments/baselines/diversity_seed1_round002_committee_models/model_002/train.log,10.442
experiments/baselines/random_seed1_round002_committee_models/model_001/train.log,10.462
experiments/baselines/random_seed0_round001_committee_models/model_000/train.log,10.465
experiments/baselines/trust_level_round001_committee_models/model_003/train.log,10.472
experiments/baselines/random_seed0_round003_committee_models/model_002/train.log,10.528
experiments/baselines/diversity_seed2_round001_committee_models/model_002/train.log,10.533
experiments/baselines/trust_level_round002_committee_models/model_001/train.log,10.543
experiments/baselines/diversity_seed2_round001_committee_models/model_003/train.log,10.544
experiments/baselines/random_seed2_round002_committee_models/model_001/train.log,10.555
experiments/baselines/trust_level_round003_committee_models/model_002/train.log,10.558
experiments/baselines/diversity_seed2_round003_committee_models/model_000/train.log,10.576
experiments/baselines/diversity_round002_committee_models/model_000/train.log,10.588
experiments/baselines/random_seed0_round003_committee_models/model_003/train.log,10.589
experiments/baselines/random_seed0_round003_committee_models/model_000/train.log,10.594
experiments/baselines/random_seed0_round003_committee_models/model_001/train.log,10.597
experiments/baselines/trust_level_seed2_round003_committee_models/model_000/train.log,10.607
experiments/baselines/trust_level_round002_committee_models/model_002/train.log,10.617
experiments/baselines/random_seed2_round002_committee_models/model_002/train.log,10.621
experiments/baselines/diversity_seed2_round001_committee_models/model_000/train.log,10.650
experiments/baselines/trust_level_seed1_round002_committee_models/model_003/train.log,10.659
experiments/baselines/diversity_seed2_round003_committee_models/model_002/train.log,10.669
experiments/baselines/trust_level_round002_committee_models/model_000/train.log,10.676
experiments/baselines/trust_level_round003_committee_models/model_000/train.log,10.699
experiments/baselines/diversity_seed2_round003_committee_models/model_003/train.log,10.702
experiments/baselines/diversity_seed1_round003_committee_models/model_002/train.log,10.707
experiments/baselines/diversity_round001_committee_models/model_002/train.log,10.719
experiments/baselines/random_seed0_round002_committee_models/model_001/train.log,10.722
experiments/baselines/diversity_seed1_round002_committee_models/model_003/train.log,10.746
experiments/baselines/trust_level_round001_committee_models/model_000/train.log,10.757
experiments/baselines/diversity_round001_committee_models/model_003/train.log,10.766
experiments/baselines/diversity_seed2_round001_committee_models/model_001/train.log,10.780
experiments/baselines/diversity_seed1_round003_committee_models/model_000/train.log,10.791
experiments/baselines/random_seed2_round002_committee_models/model_000/train.log,10.820
experiments/baselines/random_seed1_round003_committee_models/model_002/train.log,10.832
experiments/baselines/random_seed1_round003_committee_models/model_003/train.log,10.832
experiments/baselines/trust_level_seed2_round003_committee_models/model_002/train.log,10.845
experiments/baselines/diversity_seed1_round001_committee_models/model_002/train.log,10.848
experiments/baselines/trust_level_seed1_round001_committee_models/model_003/train.log,10.858
experiments/baselines/trust_level_round002_committee_models/model_003/train.log,10.862
experiments/baselines/trust_level_seed1_round002_committee_models/model_002/train.log,10.865
experiments/baselines/diversity_seed1_round001_committee_models/model_003/train.log,10.869
experiments/baselines/random_seed1_round003_committee_models/model_000/train.log,10.889
experiments/baselines/random_seed1_round001_committee_models/model_000/train.log,10.894
experiments/baselines/random_seed1_round002_committee_models/model_003/train.log,10.902
experiments/baselines/trust_level_seed2_round003_committee_models/model_003/train.log,10.906
experiments/baselines/diversity_seed1_round003_committee_models/model_003/train.log,10.907
experiments/baselines/random_seed1_round002_committee_models/model_000/train.log,10.925
experiments/baselines/uncertainty_seed2_round002_committee_models/model_003/train.log,10.959
experiments/baselines/trust_level_seed2_round003_committee_models/model_001/train.log,10.961
experiments/baselines/uncertainty_seed1_round002_committee_models/model_003/train.log,10.995
experiments/baselines/uncertainty_seed1_round002_committee_models/model_002/train.log,10.996
experiments/baselines/random_seed1_round001_committee_models/model_001/train.log,11.002
experiments/baselines/trust_level_seed2_round001_committee_models/model_002/train.log,11.006
experiments/baselines/random_seed2_round001_committee_models/model_000/train.log,11.011
experiments/baselines/trust_level_seed2_round001_committee_models/model_001/train.log,11.011
experiments/baselines/trust_level_seed2_round001_committee_models/model_003/train.log,11.011
experiments/baselines/diversity_seed1_round003_committee_models/model_001/train.log,11.013
experiments/baselines/diversity_seed1_round002_committee_models/model_001/train.log,11.023
experiments/baselines/diversity_round002_committee_models/model_002/train.log,11.028
experiments/baselines/diversity_seed2_round003_committee_models/model_001/train.log,11.031
experiments/baselines/diversity_seed1_round001_committee_models/model_001/train.log,11.038
experiments/baselines/random_seed0_round002_committee_models/model_002/train.log,11.041
experiments/baselines/uncertainty_seed1_round001_committee_models/model_001/train.log,11.051
experiments/baselines/diversity_round002_committee_models/model_001/train.log,11.058
experiments/baselines/uncertainty_seed2_round001_committee_models/model_000/train.log,11.064
experiments/baselines/trust_level_seed2_round001_committee_models/model_000/train.log,11.085
experiments/baselines/uncertainty_seed1_round002_committee_models/model_001/train.log,11.085
experiments/baselines/random_seed1_round001_committee_models/model_002/train.log,11.123
experiments/baselines/random_seed1_round003_committee_models/model_001/train.log,11.126
experiments/baselines/uncertainty_seed1_round001_committee_models/model_002/train.log,11.126
experiments/baselines/diversity_round003_committee_models/model_000/train.log,11.192
experiments/baselines/diversity_round003_committee_models/model_002/train.log,11.197
experiments/baselines/random_seed1_round001_committee_models/model_003/train.log,11.228
experiments/baselines/trust_level_seed1_round001_committee_models/model_002/train.log,11.233
experiments/baselines/diversity_seed1_round001_committee_models/model_000/train.log,11.248
experiments/baselines/trust_level_round003_committee_models/model_003/train.log,11.248
experiments/baselines/uncertainty_seed2_round003_committee_models/model_001/train.log,11.248
experiments/baselines/diversity_round003_committee_models/model_001/train.log,11.262
experiments/baselines/diversity_round002_committee_models/model_003/train.log,11.278
experiments/baselines/trust_level_seed1_round003_committee_models/model_002/train.log,11.291
experiments/baselines/trust_level_seed1_round003_committee_models/model_003/train.log,11.311
experiments/baselines/uncertainty_seed2_round003_committee_models/model_000/train.log,11.315
experiments/baselines/uncertainty_seed2_round003_committee_models/model_002/train.log,11.320
experiments/baselines/trust_level_seed2_round002_committee_models/model_001/train.log,11.321
experiments/baselines/uncertainty_seed1_round003_committee_models/model_000/train.log,11.364
experiments/baselines/uncertainty_seed1_round003_committee_models/model_001/train.log,11.384
experiments/baselines/uncertainty_seed2_round001_committee_models/model_003/train.log,11.402
experiments/baselines/trust_level_seed2_round002_committee_models/model_002/train.log,11.438
experiments/baselines/uncertainty_seed1_round001_committee_models/model_000/train.log,11.456
experiments/baselines/uncertainty_seed2_round002_committee_models/model_002/train.log,11.495
experiments/baselines/random_seed0_round002_committee_models/model_003/train.log,11.502
experiments/baselines/uncertainty_seed2_round002_committee_models/model_000/train.log,11.531
experiments/baselines/trust_level_seed2_round002_committee_models/model_000/train.log,11.534
experiments/baselines/trust_level_seed1_round002_committee_models/model_000/train.log,11.578
experiments/baselines/uncertainty_seed1_round001_committee_models/model_003/train.log,11.579
experiments/baselines/random_seed2_round001_committee_models/model_001/train.log,11.599
experiments/baselines/uncertainty_seed1_round002_committee_models/model_000/train.log,11.610
experiments/baselines/random_seed2_round001_committee_models/model_002/train.log,11.616
experiments/baselines/diversity_round003_committee_models/model_003/train.log,11.639
experiments/baselines/uncertainty_seed2_round003_committee_models/model_003/train.log,11.641
experiments/baselines/trust_level_seed2_round002_committee_models/model_003/train.log,11.695
experiments/baselines/random_seed2_round001_committee_models/model_003/train.log,11.704
experiments/baselines/uncertainty_seed2_round001_committee_models/model_001/train.log,11.711
experiments/baselines/trust_level_seed1_round003_committee_models/model_001/train.log,11.757
experiments/baselines/uncertainty_seed2_round001_committee_models/model_002/train.log,11.775
experiments/baselines/trust_level_seed1_round002_committee_models/model_001/train.log,11.823
experiments/baselines/diversity_round001_committee_models/model_001/train.log,11.851
experiments/baselines/random_seed2_round003_committee_models/model_002/train.log,11.860
experiments/baselines/random_seed2_round003_committee_models/model_000/train.log,11.903
experiments/baselines/uncertainty_seed2_round002_committee_models/model_001/train.log,11.955
experiments/baselines/uncertainty_seed1_round003_committee_models/model_002/train.log,12.162
experiments/baselines/random_seed2_round003_committee_models/model_003/train.log,12.189
experiments/baselines/diversity_round001_committee_models/model_000/train.log,12.223
experiments/baselines/trust_level_seed1_round003_committee_models/model_000/train.log,12.401
experiments/baselines/random_seed2_round003_committee_models/model_001/train.log,12.413
experiments/baselines/uncertainty_seed1_round003_committee_models/model_003/train.log,12.525
