strategy,seed,round,n_models,force_rmse_mean,force_rmse_std,force_rmse_min,force_rmse_max,energy_rmse_mean,force_dev_max_mean,force_dev_max_max,energy_dev_mean,pred_n_frames
uncertainty,N/A,0,4,0.19510090000000002,0.011460982777231628,0.1836113,0.2051821,0.035216567500000004,0.16762959787853834,0.4000316458206805,0.012501893716475409,60000
uncertainty,N/A,1,4,0.20496,0.016796206138887437,0.1906472,0.228875,0.0369197025,0.19495853860176554,0.29224537314603766,0.016222455935175916,59000
uncertainty,N/A,2,4,0.18294225,0.023123021544555988,0.1579612,0.2104666,0.029604712499999998,0.39291522599055906,0.5528251119532717,0.01319721035782224,58000
uncertainty,N/A,3,4,0.1824645,0.014345985857142533,0.1614791,0.1939477,0.03534512,0.18722719432540624,0.2523156943466707,0.015753961338765273,57000
random,0,1,4,0.19283685,0.013266330920667804,0.1780743,0.2087597,0.0317102925,,,,59000
random,0,2,4,0.2185295,0.04796163616357002,0.177509,0.2879241,0.03643174,,,,58000
random,0,3,4,0.191752275,0.009055253019610581,0.1792458,0.2009048,0.0353816475,,,,
random,1,1,4,0.194167725,0.017836785669579032,0.1758886,0.2140204,0.033714022499999996,,,,59000
random,1,2,4,0.210846225,0.009187834712406409,0.1981982,0.2185757,0.03701808,,,,58000
random,1,3,4,0.215176775,0.008622897780280511,0.207653,0.2275873,0.036046715,,,,
random,2,1,4,0.200520475,0.02020759704044909,0.1783345,0.2273863,0.035538655,,,,59000
random,2,2,4,0.20346530000000002,0.02638393080835378,0.1834454,0.2422946,0.0356968575,,,,58000
random,2,3,4,0.242666775,0.06017218802710407,0.1962775,0.3271869,0.043779125,,,,
diversity,0,1,4,0.188744225,0.02705838171391323,0.1585072,0.2230918,0.0333602,0.14784819345506925,0.4000316458206805,0.010569873985798376,60000
diversity,0,2,4,0.20520555,0.06469490136110675,0.1697042,0.3021853,0.03631585,0.24166667378760182,0.40325169472506533,0.017353014863137735,59000
diversity,0,3,4,0.17228902499999998,0.01697274540714711,0.1489829,0.1896622,0.0337992675,0.5864264648433558,0.8275506022803325,0.013094560245334575,58000
diversity,1,1,4,0.21537385,0.013866162931275064,0.2011328,0.2344108,0.036614125,0.14784819345506925,0.4000316458206805,0.010569873985798376,60000
diversity,1,2,4,0.202234775,0.024512375298390947,0.1828799,0.2373955,0.037967475,0.1869737034930326,0.5072777858851119,0.013595275310488895,59000
diversity,1,3,4,0.177400275,0.016077007790293772,0.1617864,0.1966617,0.031295895,0.2591465440089462,0.4164478575739194,0.02008658137337105,58000
diversity,2,1,4,0.183942525,0.02015110918739959,0.1665321,0.2127241,0.03913249,0.14784819345506925,0.4000316458206805,0.010569873985798376,60000
diversity,2,2,4,0.181441225,0.009009357699775277,0.1727132,0.1915589,0.0335192625,0.18519090713977215,0.6619795401484536,0.015453889745307831,59000
diversity,2,3,4,0.21749345,0.037098778443186875,0.18726,0.2673073,0.0420071325,0.15128013576825539,0.2710310216915286,0.01105324966497736,58000
trust_level,0,1,4,0.1881931,0.028494143114448384,0.1534394,0.2216346,0.0334288175,0.1352529420818371,0.4000316458206805,0.010305772418306316,60000
trust_level,0,2,4,0.2123528,0.06522459767485472,0.1784705,0.310175,0.037356679999999996,0.21049703048274782,0.3397869621677122,0.011687155435836078,59000
trust_level,0,3,4,0.1749754,0.02081898355876195,0.1500422,0.2008184,0.03196653,0.5592114378407382,0.9170282702645719,0.016541582175450965,58000
trust_level,1,1,4,0.21835759999999999,0.015190819271959408,0.2006239,0.2376807,0.0381928975,0.1352529420818371,0.4000316458206805,0.010305772418306316,60000
trust_level,1,2,4,0.20085265,0.030605108125333153,0.1770029,0.245055,0.03703694,0.18386985953378515,0.5814375459296284,0.016022685439702925,59000
trust_level,1,3,4,0.188139475,0.015484571997609959,0.1654991,0.1988155,0.0333915625,0.26051257441404213,0.4068439090212603,0.01665971499956831,58000
trust_level,2,1,4,0.1869567,0.02034305046070197,0.1734475,0.2171132,0.039028925,0.1352529420818371,0.4000316458206805,0.010305772418306316,60000
trust_level,2,2,4,0.184492675,0.009836367875177974,0.1768275,0.1980245,0.03337254,0.19343759226076124,0.57862600936836,0.01366052871455503,59000
trust_level,2,3,4,0.226589475,0.03656604149702972,0.2016985,0.2804953,0.0406915625,0.14261716875845637,0.23733668490803872,0.011620106877906365,58000
