round,strategy,n_models,force_rmse_mean,force_rmse_std,energy_rmse_mean
0,uncertainty,4,0.373911675,0.017006017252407055,0.129925975
1,uncertainty,4,0.37149275000000004,0.014644048379347387,0.13389955
1,random,12,0.373406625,0.019354121179509447,0.11956560083333333
1,diversity,12,1.0931346333333334,2.52851074806667,2.6328063250000002
1,trust_level,12,0.37083790833333335,0.013952372975001797,0.123671
2,uncertainty,4,0.36443995,0.013999185679769618,0.1227802
2,random,12,0.3989599,0.05429279466125399,2.526886775
2,diversity,12,0.3589740083333333,0.018037459433354917,0.11871885
2,trust_level,12,0.3647577,0.014847956050336602,0.1195591
3,uncertainty,4,0.35370225,0.024721961705401387,0.128576125
3,random,12,0.606654975,0.6826280536135221,7.442140908333333
3,diversity,12,0.35549805,0.01434306368138209,0.12406943333333334
3,trust_level,12,0.3615638333333333,0.016600781257646958,0.12155565583333333
