strategy,seed,round,model,train_frames,n_steps,wall_time_s,batch_time_ms
uncertainty,,0,model_000,1000,2000,45.3,18.5
uncertainty,,0,model_001,1000,2000,42.1,17.2
uncertainty,,0,model_002,1000,2000,42.0,17.2
uncertainty,,0,model_003,1000,2000,44.9,18.3
uncertainty,,1,model_000,2000,2000,51.5,22.0
uncertainty,,1,model_001,2000,2000,51.5,22.0
uncertainty,,1,model_002,2000,2000,52.8,22.3
uncertainty,,1,model_003,2000,2000,51.5,22.0
uncertainty,,2,model_000,3000,2000,51.3,21.9
uncertainty,,2,model_001,3000,2000,54.0,22.9
uncertainty,,2,model_002,3000,2000,53.8,22.7
uncertainty,,2,model_003,3000,2000,54.3,23.0
uncertainty,,3,model_000,4000,2000,54.0,22.9
uncertainty,,3,model_001,4000,2000,54.2,23.1
uncertainty,,3,model_002,4000,2000,51.8,22.0
uncertainty,,3,model_003,4000,2000,51.6,22.0
random,0,1,model_000,2000,2000,51.7,22.0
random,0,1,model_001,2000,2000,55.9,23.7
random,0,1,model_002,2000,2000,52.4,22.3
random,0,1,model_003,2000,2000,52.5,22.3
random,0,2,model_000,3000,2000,53.0,22.6
random,0,2,model_001,3000,2000,52.9,22.6
random,0,2,model_002,3000,2000,52.8,22.5
random,0,2,model_003,3000,2000,54.9,23.2
random,0,3,model_000,4000,2000,55.8,23.6
random,0,3,model_001,4000,2000,55.8,23.7
random,0,3,model_002,4000,2000,58.2,24.6
random,0,3,model_003,4000,2000,56.8,24.4
random,1,1,model_000,2000,2000,52.2,22.2
random,1,1,model_001,2000,2000,52.4,22.3
random,1,1,model_002,2000,2000,55.1,23.4
random,1,1,model_003,2000,2000,52.5,22.4
random,1,2,model_000,3000,2000,54.1,22.8
random,1,2,model_001,3000,2000,52.2,22.3
random,1,2,model_002,3000,2000,51.3,21.8
random,1,2,model_003,3000,2000,55.1,23.3
random,1,3,model_000,4000,2000,53.3,22.7
random,1,3,model_001,4000,2000,53.2,22.7
random,1,3,model_002,4000,2000,56.6,23.9
random,1,3,model_003,4000,2000,53.3,22.6
random,2,1,model_000,2000,2000,56.5,24.2
random,2,1,model_001,2000,2000,57.2,24.5
random,2,1,model_002,2000,2000,61.7,25.9
random,2,1,model_003,2000,2000,63.6,26.5
random,2,2,model_000,3000,2000,85.1,37.2
random,2,2,model_001,3000,2000,57.6,24.7
random,2,2,model_002,3000,2000,52.8,22.4
random,2,2,model_003,3000,2000,53.0,22.5
random,2,3,model_000,4000,2000,62.3,27.3
random,2,3,model_001,4000,2000,55.8,23.6
random,2,3,model_002,4000,2000,84.2,38.1
random,2,3,model_003,4000,2000,56.8,24.1
